"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=uJp4PaDkux0","https://i.ytimg.com/vi/uJp4PaDkux0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDPuKUcfwTe2Yu95lo8lJ0cyc_A-w","12:06","How Style the Forms Created by Model Forms in Django","StudyGyaan","•","13K views","1 year ago",""
"https://www.youtube.com/watch?v=F5mRW0jo-U4","https://i.ytimg.com/vi/F5mRW0jo-U4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAhVqrMALZJITEsOMjFDuTg7sViUQ","3:45:41","Python Django Web Framework - Full Course for Beginners","freeCodeCamp.org","•","3.6M views","4 years ago","Verified"
"https://www.youtube.com/watch?v=I8TRkEcw9Mg","https://i.ytimg.com/vi/I8TRkEcw9Mg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCKroy0rV9lP0CI0EFOOwBMTgK7ZQ","2:00:16","Django Blog Application - Full Tutorial 2022","Code With Stein","•","19K views","1 year ago",""
"https://www.youtube.com/watch?v=_ER9jHiylAo","https://i.ytimg.com/vi/_ER9jHiylAo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB8XsRsxVzeega_M9E0BruSVdVGDA","17:40","How to set up Prisma with Next.js and Postgres!","Ethan Mick","•","486 views","4 days ago",""
"https://www.youtube.com/watch?v=yubojBH8e_Q","https://i.ytimg.com/vi/yubojBH8e_Q/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGMgYyhjMA8=&rs=AOn4CLBCur6dWEndeuuMdFuObiC8tzlQnw","57:15","Solana Workshop: Solana Twitter","Joseph Caulfield","•","14 views","6 days ago",""
"https://www.youtube.com/watch?v=YfFGiulV9C4","https://i.ytimg.com/vi/YfFGiulV9C4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB8nwlnNxDKdE0Kzre-SAIAVUF02A","24:42","How To Create CSS Button Hover Effects | Hover Effect CSS","Learn With Selase","•","10 views","2 weeks ago",""
"https://www.youtube.com/watch?v=bf5wJcuMlaA","https://i.ytimg.com/vi/bf5wJcuMlaA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGcgZyhnMA8=&rs=AOn4CLB4cXkhFPQrQdn0G2sCJxsLfXC41g","19:57","Solana Workshop: SVG Generator","Joseph Caulfield","•","7 views","7 days ago",""
"https://www.youtube.com/watch?v=a7Js59b5P-c","https://i.ytimg.com/vi/a7Js59b5P-c/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB1MBNDvt7eD46oRO7Ed3T3eu5Aqw","38:28","Part 1- User Register API(Python Django REST Framework) in Malayalam (മലയാളം)","PyTech code","•","12K views","2 years ago",""
"https://www.youtube.com/watch?v=Vv-zJJG0hj8","https://i.ytimg.com/vi/Vv-zJJG0hj8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBYw06vtYZbEeg4LajwJD0Bj1tMgw","4:10:34","Python Django 4 complete Tutorial for Beginners","Codingstrade","•","12K views","6 months ago",""
"https://www.youtube.com/watch?v=xSUm6iMtREA","https://i.ytimg.com/vi/xSUm6iMtREA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC1cpVDT5Vwpky0w5--VEVh1fmzLA","5:00:41","Build a Social Media App with Django – Python Web Framework Tutorial","freeCodeCamp.org","•","387K views","9 months ago","Verified"
